id,split,english,luganda,runyankore_rukiga,acholi,ateso,lugbara
SALT-TEST-0264,test,This coronavirus disease will one day be history.,Kino ekirwadde kya korona olumu kijja kubeera lufumo bufumo.,Endwara ya Korona eizooba rimwe neija kuba ekyafaayo.,Two korona nino mo bikato bene.,Ebeit adeka na naka ekorona aolior adipepaaran.,Aza o'bu coronanirini va 'diri nga ovu adiru o'du alu ra
SALT-TEST-0265,test,Drinking of dirty water causes many diseases in people's lives.,Okunywa amazzi amakyafu kireeta endwadde nnyingi mu bulamu bw'abantu.,"Okunywa amaizi mabi, nikireeta endwara nyingi omu magara g'abantu.",Mato pii macol kelo two ikwo pa dano,Aimat akipi nuarokok eyauni adekasinei nuipu nejaas itunga.,Yi ondi mvuza ni azo karakara eyi eji 'ba eyi ma edri'a
SALT-TEST-0266,test,My uncle died last year.,Kojja wange yafa omwaka oguwedde.,Tatento akafa omwaka ogwahwiire.,Omin babana ot I mwaka mukatoni.,Abu mamaika kotwana okaru je.,Ma adroyi dra eli ajerisi
SALT-TEST-0267,test,This drama is captured in Daniel Kalinaki's book on Besigye.,Omuzannyo gwawandiikibwako ku Besigye mu katabo ka Daniel Kalinaki.,Ekigaaniiro eki nikishangwa omu kitabo kya Daniel Kalinaki ahari Besigye.,Goga man Kalinaki ocoyo pire I bukke ma dok ilok kom Besigye,Iwadikatai akiro nu toma aitabo loka Daniel Kalinaki kanuikamunit Besigye.,Ba bi andru 'diri Daniel Kalinaki vile buku Besigye ma driari ma alia
SALT-TEST-0268,test,What is the name of the teacher that you want to see?,Erinnya ly'omusomesa gw'oyagala okulaba y'ani?,Eiziina ry'omwegyesa ou orikwenda kureeba ni riiha?,Nying lapwony ma imito nenone-ni anga?,Ingai bo ekiror loka esisianakinan loikoto jo aanyun?,Embapi mini lele dreleri ma ru a'di'i?
SALT-TEST-0269,test,Religious leaders should be obedient and disciplined.,Abakulembeze b'eddiini balina okuba abeetoowaze ate nga ba mpisa.,Abebembezi b'ediini bashemereire kworoba n'okugira engyesho nungi.,Lutela dini omyero gulub cik dok gubed dano ma wor,Ekot engrenok lu ediini oraas lu erimaka ido inapara.,Le drice'ba kanisa 'diyi ma obi azita eyi ma vuti ra.
SALT-TEST-0270,test,World health organization wants to progress in domestic investment for surveillance activities.,Ekitongole kya World Health Organisation kyagala wabeerewo okwongeza ku kuteeka ensimbi mu kunoonyereza ku ndwadde mu mawanga.,Ekitongore ky’ebyamagara ekyensi yoona nikyenda kuta amaani omu by’o kucondooza .,Dul me World Healthe Organisation mito mede I keto lim I yub me tic mapat me bedo ki wang mabit I kom two.,Ekoto Erionget Loka Angeleu Kakwap kere aitopoloor angicio ngin kotoma akwapin nuka ore.,"Amuti, omvele World Health Organization ri, le aku'ba ma 'ba afa yi'be ci 'diyi azi ngazu, azo eti ondaza ma dria."
SALT-TEST-0271,test,Traders with the same kind of products operate in the same market.,Abasuubuzi abalina ebintu ebifaanagana bakolera mu katale ke kamu.,"Abashubuzi abaine ebintu ebirikushushana, nibakorera omukatare kamwe.",Lucat ma cato jami marom ipol kare gitiyo i cuk marom,Agwelanarak lu ejaas keda iboro adiope aputo egwelanarete osokoni ediope.,Ba afa wura alu 'diyi ozipi 'diyi afa ozi cu aluri ma alea
SALT-TEST-0272,test,"With the media, you can reach very many people ago.","Nga weeyambisa emikutu gy'amawulire, osobola okutuuka ku  bantu bangi omulundi gumu.",Orikwejunisa amakuru noobaasa kuhika aha bantu baingi.,"Ka itiyo ki upok ngec, itwero cwalo lok bot dano mapol","Keda ewai lo iyemuto, ipedori ijo adolokin itunga akwap kotoma apak adiope.","Geri rediyo eyini risi tualu filimu eyi pie risi, mi o'duko eco ca 'ba karakara eyi vu sa'wa aluri ma alea ra"
SALT-TEST-0273,test,You have a strong woman.,Mukyala wo mugumu.,Oine omukazi enkwata-mata.,Itye ki dako matek adada.,Ijaasi jo keda aberu naegogong.,Mi vu okuri okporu
SALT-TEST-0274,test,Nursery children are taught how to read and identify letters of the alphabet.,Abaana ba nnassale basomesebwa engeri y'okusoma n'okumanya ennyukuta walifu.,"Abeegi ba nasare, nibeegyesibwa okushoma hamwe n'okumanya enyuguta eza alifabeti.",Kipwonyo lutino me nacari ki kit me kwan ki niang nukta weng matye i Alphabet,Isisianakino idwe luko nasare eipone lo esiomere ka ajenun anyukutan nuka alphabet.,Ba anzi nasari'a 'diyi imba lata lazu azini nukuta eyi onizu
SALT-TEST-0275,test,The lion is one of the major predators in the jungle.,Empologoma y'emu ku bisobolo ebisinga okuyigga binnabyo mu kibira.,Ekicuncu nikyo kimwe ahanyamaishwa ezikira kurya ezindi omwishwa.,Labwor an ayer tye ikin lee macamo lee mukene ki bwunga.,Erai engatuny ediope kotoma otiang luenyamete luce kokibiran.,Kami eri anyapa alu anyapayi onyazasi tu 'diyi ma azini
SALT-TEST-0276,test,The pathway sits at the heart of several other biological processes.,Enkola eyo ekozesebwa nnyo ne mu mbeera endala.,Omuhanda gwakyo nigushutama ahagati ya bingi ebirikugyenda omu maisho omu mubiri.,Yoo me donyo ne aye ngo ma keto cwiny me tic makwako kwo mapat-pat ocung iwiye.,Erai epone lo loejai toma otau loka iponesio ice kotoma aijarake.,Geri erini fizuri ri geri ndu ndu ruani azi ngazuri ma dria.
SALT-TEST-0277,test,There is ignorance about the disease among the community.,Waliwo obutamanya mu bantu ku kirwadde.,Hariho obutamanya ahandwara eziri omu bantu.,Dano peke ki ngec i kom two eni,Ejai amamus na aijen nuka adeka kanejaas itunga.,Ani ako ongulumu eyi ma eselea azo 'da ma dria ci
SALT-TEST-0278,test,The treaty was signed by President Yoweri Museveni and his counterparts.,Omukago gwateekebwako omukono Pulezidenti Yoweri Museveni ne bakulembeze banne.,Endagaano ekatibwaho omukono Yoweri Museveni  na bagyenzi be.,Jo ma oketo cinggi I winye enoni obedo ladit lobo Yoweri Museveni ki luwote mapat-pat.,Arai Lokapolon akwap Yoweri Museveni keda ipaupake kes apotu kicikakisi akan toma aitutuket.,"Drile kari ni President Yoweri Museveni, alipi yi be ti dri a'yota 'diri ma dria ni."
SALT-TEST-0279,test,What are some of the diseases that can affect both animals and human beings?,Ezimu ku ndwadde ezikwata abantu n'ensolo ze ziruwa?,Ni ndwara  ki aha zimwe ezirikukwata abantu n'enyamiishwa?,Two ango ma mako dano kacel ki lee?,Ani bo adekasinei ace nuepedorete atiror itunga keda itiang da?,Azo ecopi anyapa yi obipi ba a'dayi pie 'diyi ma azi yi azo ngo yi?
SALT-TEST-0280,test,The accused claimed he was innocent because there was no evidence.,Avunaanibwa yategeeza nti yali talina musango kubanga tewaaliwo bujulizi.,Kihababirwa akagira ngu akaba ataine mushango ahabw'okuba hakaba hatariho bujurizi.,Ngat ma ki keto bal iwiye owaco ni en pe otimo bal pien ni caden mo keken peke,Ebala lo iwosatai ebe mam nges ediakarit naarai amamei ekisibit.,Agu 'bani to 'da kini i e'yo koko a'dusikuni afa azi e'dapi kini i eza e'yo ra ada ni yo
SALT-TEST-0281,test,Catholics allow some married men to become ordained priests.,Abakatoliki bakirizza abasajja abamu abafumbo okufuuka ababuulizi.,Abakaturiki nibaikiriza abashaija bamwe abashweire okuhinduka abasesorodooti abatendekirwe.,katoli giye co mogo ma gunyome me bedo padi,Ecamakitos itulikin icie ikiliok lu edukokina araun isaserodotin.,Katulika eyi ai agupi azi oku pie 'diyini ecazu padere eyi ru ra
SALT-TEST-0282,test,My niece was appointed as a director of the firm.,Ow'enganda zange yalondebwa okuba dayirekita w'ekkolero.,Mwihwa wangyeatoorainwe kukurira faamu,Kicimo latin pa nero me tic macalo Ladit me kampuni.,Aponi koseunai acenika kwape angarenon naka ekampuni  kangol.,Ba pe ma amvi kalaari ovuzu drile amuti nderiniriru
SALT-TEST-0283,test,The World Health Organization hopes that the first pledge will encourage donors to the cause.,Ekitongole kya World Health organisation kisuubira nti ekisuubizo ekisooka kijja kuwa abagabirizi b'obuyambi amaanyi eri omulamwa ogwo.,Ekitongore ky’ebyamagara ekyensi yoona nikitekateeka ngu okuraganisa kw’okubanza okwe nikwija kuba ekyokurebereho ky’okuretera abandi banyambazi bayirukangirira enkora egyo.,Dul me World Health Organisation tye ki gen ni cikke me miyo kony me acel bitugu cwiny lumii kony me miyo kony pi yub enoni.,Eomit Erionget Loka Angaleu Kakwap kere ebe ebuni ngi aisinyikokin luce agangakin kowai loikapun.,"Amuti World Health Organization, ni asi 'baza be kini owita 'dini nga 'ba azini yimaasi enga zi nde ma aza kozu."
SALT-TEST-0284,test,This raises serious issues of safety in our water transport system.,Kino kireetawo obulabe bwa maanyi ku ntambula ey'oku mazzi.,Ekinikyimutsya enshonga nkuru omubikwatireine nekyitongore kyokwohereza amaizi.,Man okelo lok me gwokke/bedo agwoka I tenge me wot I pii.,Einakinit ngin oni amisikin ebe ibusakinit oni aitojokaar ayuwara koicorin.,Di enga e'yo okporu ta mbaza ma dria e'yo acita yi dria 'diyi ni ri 'diyi
SALT-TEST-0285,test,Early pregnancies have led to increased dropout rates of girl children.,Embuto ez'amangu zireetedde omuwendo gw'abaana abawala abawanduka mu ssomero okweyongera.,Abaishiki okutwara enda bakiri bato kureetaire omuhendo gw'abaishiki abarikuruga omu mashomero kwenyongyera.,Yacu con oweko anyira madwong pe tye ka tyeko kwan,Alinganakin apotunun nes ayangau apesur ainyanakin esomero.,E'yo anzi esuza drioru ri niri otu kalafe ezoanzi eyini sukulu kuzu ri ra.
SALT-TEST-0286,test,This place is too cold.,Ekifo kino kinyogovu nnyo.,Omwanya ogu nigufuka oburengye.,Kabedo ma ngic adada.,Elilim aiboisit ngin noi.,Angu 'nderi ambi saaru
SALT-TEST-0287,test,One of the Ugandans did not qualify for the Olympics because he was underweight.,Omu ku bannayuganda teyayitamu kuzannya gya Olimpiki kubanga obuzito bwe bwali wansi.,Omunyauganda omwe tarabasize kwikirizibwa kwetaba omu mpaka za orimpiki ahabw'okureemeera kukye.,Ngat acel I kin lungwec me lobo Uganda pe pyem pien ki nongo ni kilone pe rom ki pa jo mukene ma tye I pyem.,Ediope kotoma akerak luko Uganda mam abu koloma toma abolobol naarai adit alangiruke noi.,Ba Ugandani 'diyi ma azi aluni awini dri fu avita Olympicsnirini ku a'disiku eri ma nzita cani de ku
SALT-TEST-0288,test,Cholera is a disease caused by poor sanitation.,Kolera bulwadde obuleetebwa bukyafu.,Endwara ya y'ekiirukano neeretwa oburofa.,Cholera obedo two ma cilo aye kelo,Erai ekolera adeka na eyangauni aigasiaikit.,Cholera eri azo azi esule onzoroko azini ati ako si ni i.
SALT-TEST-0289,test,My students make me upset.,Abaana be nsomesa banyiizza.,Abeegi bangye nibanyizya.,Lutino kwann gucwero cwinya mada.,Itakadinikinete eong esisiakaka.,Sukulu anzi ma vile 'diyi fe ma asi enya
SALT-TEST-0290,test,"A world of misinformation, disinformation, and misinformation is thus aided.",Obubaka obutali butuufu era nga bwabulimba awo nebuyambibwako.,Ensi y’amakuru gatahikire eba yatunga omugisha.,Man miyo ki wilobo ngec ma kiteto me bwolo dano ki ngec ma kiloko tyene,"Kanu kangun ingarakinio akwap naka akiro numam eraasi nukabeit, akiro nuemamete.","Wudrikuru o'duko inzoruni, dri seza kala inzosi azini inzo dikari niri 'di ovu atizaru ni"
SALT-TEST-0291,test,Boys passed the examinations highly.,Abalenzi baayitidde waggulu.,Aboojo bakahikira ebibuuzo ahaiguru.,Awobbe otimo maber I peny ne.,Apotu isap kotuboto aingito ejok noi.,Agupi anzi aga obeta nde ongmbo angiri si
SALT-TEST-0292,test,How long do rape case court hearings take?,Okuwulira emisango gy'obuliisamaanyi mu kkooti kutwala bbanga ki?,Omushango gw'okuhamba nigutwara bwireki gutakahuriirwe?,Winyo pido pi lok me butu ki mon tektek tero kare marom mene?,Apak bo na etia ai edauni apupio na emusago lo aibu aisiol.,E'yo 'bani 'ba o'bizu okpo alea 'diyi sa'wa 'du kotia ngopi?
SALT-TEST-0293,test,He needed a car to ease his campaigns.,Yali yeetaaga emmotoka okwanguya kakuyege we.,"Akaba nayetaaga ekiiruka , okworobya ehururu ze.",En onongo mito mutoka wek okonye ki cunu kwii,Epuda ngesi emotoka kanu aitapatan ekampein ke.,Eri le ndra mutukari ra eri ma acita ti odaza ma alea ri 'bazu ewakokoru
SALT-TEST-0294,test,The clergy need to engage in business activities to improve their welfare.,Abakulembeze b'amadiini beetaaga okwenyigira mu mirimu gy'obusuubuzi okulongoosa obulamu bwabwe.,Abaahure baine kwejumba omu mirimo y'ebyobushuubuzi babaase kutunguura entuura yaabo.,Lupwonye dini omyero gutim biacara mo kelo itgi cene,Ekot imakio lu ekanisa ajaut akiro nuka agwelanar kanu aitojokar ejautene kec.,Le drice'ba kanisa ni 'diyi ma fi e'yo tujari ni 'diyi ma alea eyini ani eyi ma edri otuzu.
SALT-TEST-0295,test,The districts are having land disputes.,Disitulikiti zirina enkaayana z'ettaka.,"Za disiturikiti, ziine entongane omu by'eitaka.",Distrik egi ni gitye ka laro wang ngom,Ejaas idisitriktan keda ingungeta lu alupok.,Distrikiti 'da eyi baka se e'yo nyakuni 'diyi ma dria
SALT-TEST-0296,test,What does the crime intelligence officer have to do?,Omunoonyereza ku misango alina kukola ki?,Ofiisa orikubuuririza ahamishango naakora ki?,Abili ma timo kwed i kom bal ma otime ticce ngo?,Inyobo ebeit epolisit lo angican imusagon aswam?,ꞌBa ambo eꞌyo onziri ma eti ondapi polisianiri ni nga aꞌdi ꞌye ya?
SALT-TEST-0297,test,People will not be allowed to get half of their savings until they retire.,Abantu tebajja kukkirizibwa kufuna kitundu ku ssente ze batereka okutuusa nga bawummudde ku mirimu.,"Abantu tibarikwija kuheebwa ekicweka ky'esente zaabo ezibiikirwe , kuhisya obu barahuumuzibwe.",Pe gibi ye ni dano ogam nucu cente ma gugwoko nio wang mma dong gu weko tic pi mwaka gi madit,Mam itunga ecamakino adumun atutubet naka ikapun kec itoni ne edolio aiyengun.,Ba ngani ai o'bi eyini robia eyini tamba ewu drusirini ri ma hafu esuzu ku kpere eyini azi kuzu
SALT-TEST-0298,test,Telecom companies are secretive on doing the new interconnection fee,Ebitongole by'amasimu bisirikidde ensonga y'ebisale by'amasimu ebipya,Kampunni z’ebyokuhurikiriza zaine ekihama omubishare,Dul mapat-pat me cim gwoko I mung tutwal wel cul me kubbe ki cim I kin dulgi mapat-pat.,Eseete ikampunin luka isimun nuebeit kesi aitatac ikapun luka arucokin.,Amuti simu ni 'diyi e'yo ajeniri 'ye ndi ndi ru yi ni aje simu ogbazu eselea 'diyi ma dria
SALT-TEST-0299,test,Some schools receive the papers before exams are held.,Amasomero agamu gafuna ebigezo nga bukyali.,Amashomero agamwe nigatunga ebigyezo bitakakozirwe.,Gangi kwan mukene nongo karatac peny manongo pud peny pe ocako.,Edumununete isomeroi ice aingito eringa apak naka aingito.,Sukulu azini 'diyi  karatasi obeta ni 'diyi isu de nga sa obeta niri eca ku
SALT-TEST-0300,test,Locals can help prevent crime by reporting wrongdoers.,Abantu basobola okutangira obuzzi bw'emisango nga baloopa abakozi b'ebikolobero.,"Abantu b'omukyanga, nibabaaasa kuzibira ebihagaro obwo barikwanjuraabakozi babyo.",Lutedero gi twero gengo bal time kun gi doto lutim bal,Epedorete itunga aitikitik abilibilo na ikisila kowai lo alimonor luarokok.,Ba aa'pi angu azi ma alea 'diyi eco e'yo onzi ma omgbo esi ra geri eyini 'ba e'yo onzi 'yepi 'diyi oluzu risi
SALT-TEST-0301,test,District councillors are poorly paid which affects service delivery,Bakansala ba disitulikiti basasulwa bubi ekikosa empeereza,"Ba kansara aha Disiturikiti nibashashurwa kubi, ekirikutamba eikono enkora y'okuhisya obuheereza aha bantu.",Lutela ma itedero ki culu gi ma goro ma eni tye ki adwoki marac i kom tic gi,Ikidioko ikapun etacio ikansilan lukodisitrikt  ido itolitoli aswam.,Ba ofeni kansila distrikitia 'diyi muke ku fezu azo ngaza azini azakoma feza o'bi eyini ri ni ecazu ewaru.
SALT-TEST-0302,test,There is an increase in the number of people joining the group every day.,Buli lunaku omuwendo gw'abantu abeyunga ku kibiina gulinnya..,"Omuhendo gw'abantu abarikwegaita aha guruupu burizooba, gweyongyeire.",wel dano me tye ka donyo i gurup eni mede nino ducu,Eyatakin enaba lo itunga elomanarete ogurupu ngin paran.,Ba fipi amuti 'da ma alea o'du driasi 'diyi ma kalafe ni tutu .
SALT-TEST-0303,test,There is a lot of disagreement within the party.,Waliwo obutakwatagana bungi mu kibiina.,Hariho obutakwatagana omukibiina,Telle matek tutwal tye I dul me cungu iwi-bye ne.,Ipu ingungeta kotoma opate.,Erita ako ga amuti yi ma alia yi ma ngulupi si tre
SALT-TEST-0304,test,The treaty was signed to re-establish the East African Community.,Endagaano yassibwako emikono okusobola okuzzaawo omukago gwa East Afirika.,Endagaano ekahamibwa kugarura butsya ekibina kya Afirika ya burugwa eizooba.,Kiketo cing I winye ne wek oroc dul me East African Community.,Aponi kicikakinai akan kanu acamanar aisiteteun Atukot Naka East Africa.,Dri tiza a'yota ti ecima ni ri lezu amuti East African Community ni e'dozu dika.
SALT-TEST-0305,test,The schools should provide pupils with something to eat.,Amasomero gateekeddwa okuwa abayizi ekyokulya.,Amashomero gashemereire kuheereza abeegi ekyokurya.,Gangi kwan omyero gumi ki ki lutino gin acama,Ekot isomeroi aijanakin idwe iboro lu enyamete.,Le sukulu eyi ma fe sukulu anzi eyini afa nyaza ci.
SALT-TEST-0306,test,Some of my friends think that my mother-in-law is pretending to help me so that she can spy on my family.,Abamu ku mikwano gyange balowooza nti nnyazaala wange yeefuula annyamba asobole okuketta amaka gange.,Abanyani bagye bamwe nibagiira ngu aine nayebuzabuza ngu nanyamba kwenda kuurebuza ebirikukwata aha maka gagye.,Jo mukene giwacci mara nyuto ni ekonya kara mito ngeyo mung me gangwa.,Ewomitos ipaperoka ice ebe ewuta totoke okilenika aicidik ebe ewuta aingarakin eong tetere ngesi engici ekosi ekal.,Ma agypi azi 'diyi ega kini ma idri le i ba kile eri ma aza ko le erini ani ombata 'yezu familia mavileri ma dria beni
SALT-TEST-0307,test,The leaders tasked the parliamentarian to solve the problem using the colonial map.,Abakulembeze baasaba omukiise mu paalamenti okugonjoola ekizibu nga yeeyambisa mmaapu y'abafuzi b'amatwale.,"Abeebembezi bakashaba abany'eishengyero okumaraho oburemeezi, barikukoresa maapu y'amatwaare.",Lutela gu keto lamema me ot moko cik me cobo peko matye ni kun tiyo kiwang ngom ma kiketo ikare me loc pa muni,Apotu engarenok otingata emeeba loka airabet aitemokin ationis itwasamai amapu na akolo.,Drice'ba eyi feki memba koloseni niri ni azi e'yo 'da otuzu mapu ogara'ba eyini risi
SALT-TEST-0308,test,Doctors need to sleep in staff houses to have immediate access to patients,Abasawo beetaaga basule mu nnyumba z'abakozi okusobola okukola amangu ku balwadde.,"Abashaho nibetenga kuraara omu nju ezaheirwe abashaho, kugira ngu babaase kuhika aha barwaire juba nk'okukirikwetengwa.",Daktari omyero gubut I odi pa lutic wek gubed nongo gitwero ka konyo lutwo cut cut,Ekot imurok apero otokoi lu edokokitai kanu odolonokin adekak atipet.,Le dakitari eyi ma aa'ki jo Sile azi'ba eyini 'diyi ma alea eyini azakoma fezu 'ba azoru 'diyini mbeleru beni.
SALT-TEST-0309,test,strikes and accusations from the opposition being politicized need to stop in Makerere,Okwekalakaasa n'obwegugungo okuva ku ludda oluvuganya mu byobufuzi byeetaaga okukomezebwa mu Makerere.,Obwediimo  hamwe n'okucwerana emanja okurikukorwa ab'eby'obutegyeki abahakani bishemereire kwemerezibwa omu yunivaasite ya Makerere.,Lucungu iwi bye ma tam gi pat ki pa gamente omyero pe guwek lok me jemo ki adot ma aa ki bol odok lok me cungu iwi bye,Ibusakinit engarenok luka epata loka etepegak apalar aswamukec naka aidiya keda aitoron Makerere.,Le e'yo ngiringiri ni azini atotoa ni engazu 'ba ageti otiza ni 'diyi vu asisile politiki nisi Makererea 'diyi ma asi ra
SALT-TEST-0310,test,People should distance themselves from others to prevent the spread of coronavirus.,Abantu balina okwewa amabanga okwewala okusaasaana kw'ekirwadde kya corona.,Abantu baine kweheereza emwanya kurunga ahabandi kwetantara okujanjaara kwa tsenyinga omukabwe.,Dano myero gubbed mabor ki luwotgi pi gwokke ki two me korona.,Ibusaknit itunga alainikina kanu aitikitik eikor loka adeka naka ekorona.,Ba ma ku angu yi ma eselea 'ba azi 'diyi be ci azo o'bu coronanirini ma ereta atrizu.
SALT-TEST-0311,test,He has not eaten food for two days now.,Amaze ennaku bbiri nga talya mmere.,Yaamara ebiro bibiri atiine ki ariire.,En pe ocamo dek dong pi nino aryo.,Mam ngesi enyamit inyamat kanu apaarasia aarei kwana.,Eri nya nyaka ku ca 'di o'du iri 'bo
SALT-TEST-0312,test,I saw a stranger entering that house.,Nnalabye omuntu gwe sitegeera ng'ayingira mu nnyumba.,Nkareeba omugyenyi arikutaaha omunju egyo.,Aneno ngat mo ma pe angeyo ka donyo i ot.,Abu eong aanyu ecetunganan elomari togo ngol.,Andre 'ba azi ani'boruni firia jo 'da ma alia.
SALT-TEST-0313,test,He is our entertainment minister at school.,Mu ssomero lyaffe akola nga minisita w'eby'okwesanyusaamu.,Niwe arikukurira eby'okushemeza abantu omu eishomero ryaitu.,En aye tye minista ma loyo lok kom galowang I cukulwa.,Erai ngesi loeyait aitelelio kosomerokosi.,Eri ama vile minisita e'yo ayiko fezaniri ma e'yo ndrepi Sukuluari'i.
SALT-TEST-0314,test,It is good to express gratitude.,Kirungi okulaga okusiima.,"Nikirungi, okworeka amashemererwa.",Obedo gin maber me miyo pwoc,Ejok aitodiar aitim.,Eri orodriru aa'zu awa'difo be tia tre.
SALT-TEST-0315,test,Animals are greatly affected by diseases.,Ebisolo bikosebwa nnyo endwadde.,Endwara nizinyangaraza munonga amatungo.,Polkare two diyo lee matek,Esuronokinete adekasinei itang noi.,Anyapa eyi esu candi azo eyi si saaru.
SALT-TEST-0316,test,Ten of the prisoners were returned to the country today.,Abasibe kkumi ku bo bakomezeddwawo mu ggwanga leero.,Ikumi aha batsibe baagarurwa om'eihanga erizooba,Mabuc apar kidwokogi cen lobowa.,Aponi inyakunai isibei itomon toma akwapu lolo.,Ba ogo mabuso mudri 'diyi be kari ma alia te andru
SALT-TEST-0317,test,The situation was very tense by the time I arrived.,"We nnatuukira, embeera yali ya bunkenke.",Embeera ekaba eri oy'obunkenke omu bwire obu naiziire.,Jami ne obedo lyet I kare ma oo.,Arono noi ejautene kosawa loadolunia eong.,Mani ecazurisi e'yo nderi de eyazaru.
SALT-TEST-0318,test,Those that get low points will automatically be disqualified.,Abo abafuna obubonero obutono bajja kuwandukamu.,Abo abaratunge obubonero bukye nibazi kubingwa,Kibiryemo jo ma onongo wel makci manok.,Ngul luedumunete apointan nuikidioko eponio alemar kotoma abolia.,Ba nga'baa isu 'ba were 'diyi nga ovu ovuza ru yi si
SALT-TEST-0319,test,The team displayed good football skills in the tournament.,Ttiimu yayolesezza obukodyo bw'omupiira obulungi mu mpaka.,Tiimu ekooreka emyoga mirungi y''omumuzaano gw'omupiira omu mpaka ezabaireho.,Lutuk odilo gunyutu diro tuku mabeco ipyem tuku mukatoni,Abu etimu itodu aipet najokan kotoma abolobol.,Amuti mupira avizu 'da e'da geri azi ala mupira avizuni eyi ma azi mupira abala 'di ma alea.
SALT-TEST-0320,test,This was a bad move to go home.,Okusalawo okudda eka tekyali kya magezi.,Hakabaho entambura mbi kuza omuka.,Dok gang obedo moko tam marac tutwal.,Mam alosit ore arai aseunet najokan.,Di ndra geri onzi 'ba ni muzu akua ni'I
SALT-TEST-0321,test,The soldiers should be convinced to stop fighting.,Abasirikale balina okuyambibwa okukiraba nti beetaaga okulekera awo okulwana.,Tushemereire kushaba amahe kurekyera aho okurwana,Myero kibit mony wek guwek lweny.,Ibusakinit aicorakin isirikaalei apalar ejie.,Le 'ba ma o'be 'ba marani ru 'diyi a'di 'diza kuzu ja
SALT-TEST-0322,test,The church was established with three objectives.,Ekkanisa yazimbibwa n'ebigendererwa bisatu.,Ekanisa ekatandikwa n'ebigyendererwa bishatu.,Kiyabu kanica ki miti adek,Edukunitai ekanisa kanuka iboro iuni.,Ba e'do kanisa 'da e'yo okporu na eyi be
SALT-TEST-0323,test,She was born blind.,Yazaalibwa muzibe.,Akazaarwa atarikureeba.,Kinywale ma wange oto.,Eurunitai ngesi emudukana.,Ba osi eri mile kokoru.
SALT-TEST-0324,test,Engineers should create a professional uniting body.,Bayinginiya balina okutondawo ekibiina ekibagatta.,Baayingyiniya bashemereire kutandikaho ekibiina ekirikubagaita.,ludiro irwom ma malo omyero gubed ki dul ma ribo gi,Ekot ijinias adukun atukot na imorikikit kes.,Le inginiya eyi ma e'do amuti azi ngazu eyi ecipi tualu ni i
SALT-TEST-0325,test,Candidate classes will report at the beginning of June.,Abasomi mu bibiina ebya kamalirizo bajja kuddayo ku ntandiikwa y'omwezi gw'omukaaga.,"Abeegi abari omu bibiina ebyakamaririzo nibaija kuza aha mashomero, aha ntandikwa y'okwa mukaaga.","Joo matye I class abiro, angwen ki abicel gubi cako kwan I acaki me dwe me abicel",Esisiak lu ebeit angetakin ebeit abongor ageunet na olap lo ikanyetape.,Sukulu anzi depi dede 'diyi go sukulua imba azia ni e'doria
SALT-TEST-0326,test,My food order was delivered on time.,Emmere gye nnalagirizza baagireese mu budde.,Eby'okurya ebinashabire bimpikireho omu bwiire.,Cam ma apenyo me wilo kikelo i cawane kikome.,Aponi koyangaunai inyamat luengisit eong kotoma apak.,Ba nyaka mani azileri sawa ma dria.
SALT-TEST-0327,test,Most of the funding was allocated to agriculture.,Okuvujjirira okusinga kwaweereddwa eri obulimi n'obulunzi,Esente nyingi bakazita omuby'obuhingi n'oburiisa.,Pol pa cente ki keto i lok me pur,Apiyai nuipu aponi ibwaikinai owai lo akoru.,Ba fe robia 'da ma abari e'yo agirikica ni 'diyini
SALT-TEST-0328,test,I clearly remember the way to your home.,Nzijukira bulungi ekkubo erigenda ewammwe.,Niinyijuka gye omuhanda gurikuza owaawe.,Wiya poo maber adada I kom yo macito gangi.,Eiituni eong jokan erot loelosi orekon.,Ma ega geri mupi mi vile akuari kililiru ra
SALT-TEST-0329,test,Refugees do not have enough food to sustain their lives.,Abanoonyiboobubudamu tebalina mmere emala kubeezaawo bulamu bwabwe.,"Abantu empungi, tibaine by'okurya ebirikumara kubabaisaho.",Luring ayela pegitye ki cam ma oromo,Emamete ikerai inyamat lu edolitos kanu ajaria.,Emunyale eyini nyaka cani eyini ani ecozu eyi ma edri ta mbazu ku.
SALT-TEST-0330,test,A marathon is a long-distance race.,Mubunabyalo kwe kudduka emisinde emiwanvu.,Marasoni nikimanyisa okwiruka orugyendo ruraingwa.,Ngwec pa lwak obedo ngwec ma bor,Aijong erai akerit na eoja.,Afa omvele marathoni ruri eri ongu 'bani nzu angu ezu ma alea ri i
SALT-TEST-0331,test,The land is very valuable.,Ettaka lya muwendo nnyo.,Eitaka n'eryomuhendo munonga.,Ngom obedo gin mo ma well tek.,Eraasi alupok nuepol etiai.,Nyakueri afa lonyi beni'i
SALT-TEST-0332,test,Motorcyclists are not allowed to use the new bridge.,Abavuzi ba pikipiki tebakkirizibwa kuyita ku lutindo olupya.,Abavugi b'amapiki tibarikwikirizibwa kukoresa orutindo orusya.,Lungwec ki pikipiki pe kitye kaye ni gungol ki wi pem manyen.,Mam ecamakinitai erengeak ipikipikin aitosom edaraca loitetet.,Ba leni 'ba pikipiki onzu'ba 'diyi dri daraja o'diri ayuzu ku.
